DT	WEBCT_KODS	KOMP_KODS	USR	IP	APJ
17-SEP-2006	2CIT1002	K_SAK	365792	426	43241
17-SEP-2006	2CIT1002	K_SAK	365792	426	3811
17-SEP-2006	2CIT1002	GRAF-F	365792	426	5949
17-SEP-2006	2CIT1002	GRAF-F	365792	426	9515
17-SEP-2006	2CIT1002	S_B	365792	426	6844
17-SEP-2006	2BIO2011	K_SAK	315159	19675	46362
17-SEP-2006	2BIO2011	CAL	315159	19675	46807
17-SEP-2006	2BIO2011	CAL	315159	19675	33356
17-SEP-2006	2BIO2011	CAL	315159	19675	17046
17-SEP-2006	2BIO2085	K_SAK	313198	18703	48321
17-SEP-2006	2BIO2085	K_SAK	313198	18703	3907
17-SEP-2006	2BIO2085	K_SAK	313198	18703	6223
17-SEP-2006	2BIO2085	C_B	313198	18703	9920
17-SEP-2006	2BIO2085	HTM-F	313198	18703	49167
17-SEP-2006	2BIO2085	HTM-F	313198	18703	448
17-SEP-2006	2BIO2085	DOC-F	313198	18703	49149
17-SEP-2006	2BIO2085	DOC-F	313198	18703	448
17-SEP-2006	2BIO2085	GRAF-F	313198	18703	49188
17-SEP-2006	2BIO2085	GRAF-F	313198	18703	11655
17-SEP-2006	2BIO2085	SATR	313198	18703	370
17-SEP-2006	2BIO2085	SATR	313198	18703	4971
17-SEP-2006	2BIO2085	CIT_K	313198	18703	236323
17-SEP-2006	2BIO2085	TSK	313557	7481	637
17-SEP-2006	2BIO2085	TSK	313557	7481	2288
17-SEP-2006	2BIO2085	TSK	313557	7481	757
17-SEP-2006	2BIO2085	TSK	313557	7481	817
17-SEP-2006	2BIO2085	TSK	313557	7481	4103
17-SEP-2006	2BIO2085	TSK	313557	7481	869
17-SEP-2006	2BIO2085	TSK	313557	7481	637
17-SEP-2006	2BIO2085	TSK	313557	7481	2288
17-SEP-2006	2BIO2085	TSK	313557	7481	757
17-SEP-2006	2BIO2085	TSK	313557	7481	906
17-SEP-2006	2BIO2085	DB_B	313557	7481	3218
17-SEP-2006	2BIO2085	PTSK	313557	7481	1117
17-SEP-2006	2BIO2085	PTSK	313557	7481	710
17-SEP-2006	2BIO2085	PTSK	313557	7481	699
17-SEP-2006	2BIO2085	DB_B	313557	7481	3222
17-SEP-2006	2BIO2085	DB_B	313557	7481	7184
17-SEP-2006	2BIO2085	DB_B	313557	7481	3220
17-SEP-2006	2BIO2085	TSK	313557	7481	637
17-SEP-2006	2BIO2085	TSK	313557	7481	2288
17-SEP-2006	2BIO2085	TSK	313557	7481	757
17-SEP-2006	2BIO2085	K_SAK	313557	7481	3907
17-SEP-2006	2BIO2085	K_SAK	313557	7481	48319
17-SEP-2006	2BIO2085	K_SAK	313557	7481	3907
17-SEP-2006	2BIO2085	K_SAK	313557	7481	6223
17-SEP-2006	2BIO2085	C_B	313557	7481	9920
17-SEP-2006	2BIO2085	GRAF-F	313557	7481	49188
17-SEP-2006	2BIO2085	GRAF-F	313557	7481	11655
17-SEP-2006	2BIO2085	SATR	313557	7481	370
17-SEP-2006	2BIO2085	SATR	313557	7481	4971
17-SEP-2006	2BIO2085	CIT_K	313557	7481	236323
17-SEP-2006	2BIO2085	HTM-F	313557	7481	49167
