DT	WEBCT_KODS	KOMP_KODS	USR	IP	APJ
27-SEP-2006	2BIO2011	K_SAK	248941	279	46273
27-SEP-2006	2BIO2011	K_SAK	248941	279	3196
27-SEP-2006	2BIO2011	K_SAK	248941	279	6345
27-SEP-2006	2BIO2011	SATR	248941	279	14780
27-SEP-2006	2BIO2011	PDF-F	248941	279	11652
27-SEP-2006	2BIO2011	SATR	248941	279	370
27-SEP-2006	2BIO2011	SATR	248941	279	10668
27-SEP-2006	2BIO2011	PDF-F	248941	279	250379
27-SEP-2006	2BIO2011	PDF-F	248941	279	245999
27-SEP-2006	2BIO2011	SATR	248941	279	14780
27-SEP-2006	2BIO2011	SATR	248941	279	11597
27-SEP-2006	2BIO2011	SATR	248941	279	10778
27-SEP-2006	2BIO2011	TSK	248941	279	3905
27-SEP-2006	2BIO2011	SATR	248941	279	14780
27-SEP-2006	2BIO2011	PDF-F	248941	279	11652
27-SEP-2006	2BIO2011	SATR	248941	279	370
27-SEP-2006	2BIO2011	PDF-F	248941	279	370
27-SEP-2006	2BIO2011	SATR	248941	279	10668
27-SEP-2006	2BIO2011	PDF-F	248941	279	10668
27-SEP-2006	2BIO1107	S_B	368489	9537	602
27-SEP-2006	2BIO1107	HTM-F	368489	9537	27522
27-SEP-2006	2BIO1107	K_MAP	368489	9537	18123
27-SEP-2006	2BIO1107	DB_B	368489	9537	621
27-SEP-2006	2BIO1107	DB_B	368489	9537	333
27-SEP-2006	2BIO1107	DB_B	368489	9537	2300
27-SEP-2006	2BIO1107	DB_B	368489	9537	621
27-SEP-2006	2BIO1107	DB_B	368489	9537	2298
27-SEP-2006	2BIO1107	DB_B	368489	9537	333
27-SEP-2006	2BIO1107	TSK	368489	9537	641
27-SEP-2006	2BIO1107	TSK	368489	9537	2469
27-SEP-2006	2BIO1107	TSK	368489	9537	4780
27-SEP-2006	2BIO1107	K_SAK	368489	9537	9241
27-SEP-2006	2BIO1107	PTSK	368489	9537	1115
27-SEP-2006	2BIO1107	PTSK	368489	9537	715
27-SEP-2006	2BIO1107	PTSK	368489	9537	10127
27-SEP-2006	2BIO1107	K_SAK	368489	9537	9241
27-SEP-2006	2BIO1107	TSK	368489	9537	641
27-SEP-2006	2BIO1107	TSK	368489	9537	2469
27-SEP-2006	2BIO1107	TSK	368489	9537	4785
27-SEP-2006	2BIO1107	DB_B	368489	9537	45246
27-SEP-2006	2BIO1107	DB_B	368489	9537	4024
27-SEP-2006	2BIO1107	DB_B	368489	9537	7463
27-SEP-2006	2BIO1107	GL_B	368489	9537	9619
27-SEP-2006	2BIO1107	K_SAK	368489	9537	3849
27-SEP-2006	2BIO1107	WH_B	368489	9537	359
